item_id,safety_stock,lead_time_days,reorder_threshold,last_updated,rule_owner,failure_scenario
ITEM_0000,10,8,219,2024-06-03,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0000,97,9,277,2024-08-19,Alice,FORECAST_UNDERESTIMATED
ITEM_0000,66,5,166,2024-08-04,Diana,FORECAST_UNDERESTIMATED
ITEM_0000,87,6,97,2024-07-08,Bob,THRESHOLD_TOO_LOW
ITEM_0000,52,10,62,2024-05-29,Alice,THRESHOLD_TOO_LOW
ITEM_0001,13,6,206,2024-05-18,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0001,56,5,156,2024-04-16,Alice,SUPPLIER_DELAY
ITEM_0001,94,6,104,2024-08-27,Bob,THRESHOLD_TOO_LOW
ITEM_0001,55,8,215,2024-08-17,Charlie,SUPPLIER_DELAY
ITEM_0001,17,5,186,2024-05-14,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0002,94,6,214,2024-04-17,Alice,LEAD_TIME_WRONG
ITEM_0002,86,5,96,2024-08-06,Charlie,THRESHOLD_TOO_LOW
ITEM_0002,65,5,165,2024-07-09,Diana,STALE_FORECAST
ITEM_0002,17,5,173,2024-08-02,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0002,80,9,260,2024-08-21,Bob,SUPPLIER_DELAY
ITEM_0003,68,6,78,2024-04-22,Charlie,THRESHOLD_TOO_LOW
ITEM_0003,85,8,95,2024-07-21,Charlie,THRESHOLD_TOO_LOW
ITEM_0003,86,8,96,2024-07-18,Alice,THRESHOLD_TOO_LOW
ITEM_0003,12,9,261,2024-07-17,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0003,69,8,229,2024-05-19,Alice,SUPPLIER_DELAY
ITEM_0004,70,5,170,2024-09-01,Diana,FORECAST_UNDERESTIMATED
ITEM_0004,28,6,201,2024-06-04,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0004,84,7,224,2024-07-11,Charlie,LEAD_TIME_WRONG
ITEM_0004,100,10,300,2024-07-14,Bob,NO_FAILURE
ITEM_0004,83,8,243,2024-08-15,Charlie,NO_FAILURE
ITEM_0005,22,9,271,2024-06-01,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0005,76,5,176,2024-08-19,Bob,SUPPLIER_DELAY
ITEM_0005,60,10,260,2024-08-09,Alice,FORECAST_UNDERESTIMATED
ITEM_0005,81,7,221,2024-07-23,Diana,FORECAST_UNDERESTIMATED
ITEM_0005,79,8,89,2024-05-13,Alice,THRESHOLD_TOO_LOW
ITEM_0006,71,10,271,2024-07-16,Alice,FORECAST_UNDERESTIMATED
ITEM_0006,54,8,64,2024-04-05,Alice,THRESHOLD_TOO_LOW
ITEM_0006,26,5,179,2024-06-02,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0006,52,9,62,2024-04-22,Alice,THRESHOLD_TOO_LOW
ITEM_0006,90,9,270,2024-08-18,Diana,FORECAST_UNDERESTIMATED
ITEM_0007,62,8,222,2024-06-26,Bob,LEAD_TIME_WRONG
ITEM_0007,99,6,219,2024-06-23,Bob,SUPPLIER_DELAY
ITEM_0007,25,10,300,2024-06-19,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0007,90,9,270,2024-08-02,Bob,FORECAST_UNDERESTIMATED
ITEM_0007,97,10,297,2024-08-19,Charlie,STALE_FORECAST
ITEM_0008,75,10,275,2024-07-12,Bob,SUPPLIER_DELAY
ITEM_0008,59,8,69,2024-06-26,Alice,THRESHOLD_TOO_LOW
ITEM_0008,56,7,196,2024-08-20,Diana,SUPPLIER_DELAY
ITEM_0008,51,5,61,2024-06-13,Alice,THRESHOLD_TOO_LOW
ITEM_0008,67,8,227,2024-05-18,Diana,SUPPLIER_DELAY
ITEM_0009,61,9,241,2024-04-27,Bob,LEAD_TIME_WRONG
ITEM_0009,54,6,174,2024-04-30,Bob,FORECAST_UNDERESTIMATED
ITEM_0009,25,7,233,2024-04-30,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0009,81,9,261,2024-05-13,Alice,SUPPLIER_DELAY
ITEM_0009,91,6,101,2024-07-05,Alice,THRESHOLD_TOO_LOW
ITEM_0010,22,10,276,2024-07-20,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0010,82,8,242,2024-06-23,Alice,FORECAST_UNDERESTIMATED
ITEM_0010,63,7,203,2024-05-03,Alice,LEAD_TIME_WRONG
ITEM_0010,60,10,260,2024-05-05,Diana,NO_FAILURE
ITEM_0010,90,5,190,2024-07-17,Diana,FORECAST_UNDERESTIMATED
ITEM_0011,24,10,269,2024-07-28,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0011,52,5,152,2024-04-08,Bob,FORECAST_UNDERESTIMATED
ITEM_0011,98,7,238,2024-05-27,Alice,FORECAST_UNDERESTIMATED
ITEM_0011,12,7,214,2024-05-25,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0011,80,5,180,2024-07-02,Charlie,FORECAST_UNDERESTIMATED
ITEM_0012,54,5,64,2024-06-18,Charlie,THRESHOLD_TOO_LOW
ITEM_0012,74,8,234,2024-06-03,Charlie,NO_FAILURE
ITEM_0012,75,5,175,2024-05-23,Alice,FORECAST_UNDERESTIMATED
ITEM_0012,67,9,247,2024-04-10,Charlie,FORECAST_UNDERESTIMATED
ITEM_0012,88,5,188,2024-05-18,Diana,STALE_FORECAST
ITEM_0013,55,9,235,2024-06-06,Bob,FORECAST_UNDERESTIMATED
ITEM_0013,60,8,220,2024-04-04,Diana,STALE_FORECAST
ITEM_0013,72,9,82,2024-06-29,Diana,THRESHOLD_TOO_LOW
ITEM_0013,61,8,221,2024-05-24,Diana,FORECAST_UNDERESTIMATED
ITEM_0013,75,9,255,2024-04-13,Diana,SUPPLIER_DELAY
ITEM_0014,12,10,259,2024-08-13,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0014,77,9,257,2024-07-04,Diana,STALE_FORECAST
ITEM_0014,90,5,190,2024-07-24,Charlie,LEAD_TIME_WRONG
ITEM_0014,26,6,189,2024-05-28,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0014,79,7,89,2024-04-08,Alice,THRESHOLD_TOO_LOW
ITEM_0015,72,8,232,2024-04-23,Diana,LEAD_TIME_WRONG
ITEM_0015,52,9,232,2024-05-02,Bob,SUPPLIER_DELAY
ITEM_0015,55,5,155,2024-07-03,Charlie,SUPPLIER_DELAY
ITEM_0015,71,7,211,2024-07-30,Bob,NO_FAILURE
ITEM_0015,70,6,190,2024-04-14,Diana,LEAD_TIME_WRONG
ITEM_0016,50,9,230,2024-04-06,Bob,FORECAST_UNDERESTIMATED
ITEM_0016,85,7,95,2024-04-17,Charlie,THRESHOLD_TOO_LOW
ITEM_0016,69,9,249,2024-06-16,Alice,SUPPLIER_DELAY
ITEM_0016,27,7,194,2024-06-14,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0016,15,6,179,2024-07-17,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0017,74,9,84,2024-06-06,Alice,THRESHOLD_TOO_LOW
ITEM_0017,50,5,150,2024-08-28,Alice,LEAD_TIME_WRONG
ITEM_0017,12,5,167,2024-06-23,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0017,73,5,173,2024-05-08,Alice,SUPPLIER_DELAY
ITEM_0017,64,7,204,2024-04-11,Charlie,SUPPLIER_DELAY
ITEM_0018,76,9,256,2024-06-23,Bob,LEAD_TIME_WRONG
ITEM_0018,78,6,198,2024-08-22,Alice,FORECAST_UNDERESTIMATED
ITEM_0018,67,9,247,2024-09-01,Bob,SUPPLIER_DELAY
ITEM_0018,87,7,227,2024-04-13,Alice,LEAD_TIME_WRONG
ITEM_0018,59,10,259,2024-06-03,Charlie,FORECAST_UNDERESTIMATED
ITEM_0019,57,10,67,2024-07-22,Charlie,THRESHOLD_TOO_LOW
ITEM_0019,27,7,233,2024-04-24,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0019,82,9,262,2024-04-05,Alice,STALE_FORECAST
ITEM_0019,59,8,219,2024-04-05,Charlie,FORECAST_UNDERESTIMATED
ITEM_0019,69,7,209,2024-07-10,Bob,SUPPLIER_DELAY
ITEM_0020,19,7,234,2024-06-11,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0020,90,7,230,2024-07-06,Charlie,SUPPLIER_DELAY
ITEM_0020,27,7,200,2024-07-27,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0020,89,8,99,2024-06-04,Alice,THRESHOLD_TOO_LOW
ITEM_0020,20,5,190,2024-06-16,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0021,83,9,263,2024-06-06,Alice,STALE_FORECAST
ITEM_0021,74,7,214,2024-08-23,Alice,SUPPLIER_DELAY
ITEM_0021,85,6,205,2024-07-23,Diana,NO_FAILURE
ITEM_0021,60,8,220,2024-07-19,Charlie,LEAD_TIME_WRONG
ITEM_0021,91,6,211,2024-05-20,Alice,SUPPLIER_DELAY
ITEM_0022,64,5,164,2024-05-27,Alice,STALE_FORECAST
ITEM_0022,27,6,217,2024-07-26,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0022,51,9,231,2024-08-19,Bob,LEAD_TIME_WRONG
ITEM_0022,93,9,273,2024-06-16,Bob,SUPPLIER_DELAY
ITEM_0022,83,8,243,2024-08-23,Bob,NO_FAILURE
ITEM_0023,96,10,296,2024-04-23,Charlie,NO_FAILURE
ITEM_0023,76,10,276,2024-07-22,Alice,STALE_FORECAST
ITEM_0023,56,9,236,2024-06-30,Bob,NO_FAILURE
ITEM_0023,59,9,239,2024-06-14,Bob,SUPPLIER_DELAY
ITEM_0023,11,5,180,2024-04-10,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0024,51,10,61,2024-07-13,Alice,THRESHOLD_TOO_LOW
ITEM_0024,83,7,223,2024-05-12,Alice,SUPPLIER_DELAY
ITEM_0024,56,5,156,2024-06-19,Charlie,SUPPLIER_DELAY
ITEM_0024,52,8,212,2024-08-20,Diana,FORECAST_UNDERESTIMATED
ITEM_0024,12,6,170,2024-04-07,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0025,73,10,273,2024-05-26,Charlie,FORECAST_UNDERESTIMATED
ITEM_0025,61,7,201,2024-08-12,Bob,SUPPLIER_DELAY
ITEM_0025,97,5,197,2024-07-14,Bob,FORECAST_UNDERESTIMATED
ITEM_0025,93,8,253,2024-08-03,Charlie,FORECAST_UNDERESTIMATED
ITEM_0025,94,9,274,2024-09-01,Charlie,SUPPLIER_DELAY
ITEM_0026,67,10,267,2024-05-03,Bob,FORECAST_UNDERESTIMATED
ITEM_0026,57,10,67,2024-06-30,Alice,THRESHOLD_TOO_LOW
ITEM_0026,71,10,271,2024-06-29,Bob,FORECAST_UNDERESTIMATED
ITEM_0026,95,5,195,2024-06-20,Alice,SUPPLIER_DELAY
ITEM_0026,87,5,97,2024-04-18,Charlie,THRESHOLD_TOO_LOW
ITEM_0027,66,10,266,2024-08-01,Charlie,SUPPLIER_DELAY
ITEM_0027,76,9,256,2024-07-14,Bob,FORECAST_UNDERESTIMATED
ITEM_0027,64,6,184,2024-07-01,Diana,SUPPLIER_DELAY
ITEM_0027,62,5,162,2024-07-11,Charlie,SUPPLIER_DELAY
ITEM_0027,98,9,278,2024-04-13,Diana,FORECAST_UNDERESTIMATED
ITEM_0028,93,7,103,2024-06-25,Bob,THRESHOLD_TOO_LOW
ITEM_0028,95,7,105,2024-06-12,Charlie,THRESHOLD_TOO_LOW
ITEM_0028,58,8,218,2024-07-14,Diana,NO_FAILURE
ITEM_0028,83,5,183,2024-05-27,Bob,FORECAST_UNDERESTIMATED
ITEM_0028,69,9,249,2024-06-05,Alice,SUPPLIER_DELAY
ITEM_0029,22,10,257,2024-06-16,Bob,SAFETY_STOCK_INSUFFICIENT
ITEM_0029,68,10,268,2024-08-08,Charlie,SUPPLIER_DELAY
ITEM_0029,51,5,151,2024-04-11,Bob,SUPPLIER_DELAY
ITEM_0029,90,9,100,2024-04-09,Charlie,THRESHOLD_TOO_LOW
ITEM_0029,91,10,291,2024-07-07,Bob,SUPPLIER_DELAY
ITEM_0030,99,9,109,2024-08-15,Bob,THRESHOLD_TOO_LOW
ITEM_0030,29,7,213,2024-06-08,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0030,99,10,109,2024-06-23,Alice,THRESHOLD_TOO_LOW
ITEM_0030,99,7,109,2024-07-10,Alice,THRESHOLD_TOO_LOW
ITEM_0030,95,7,105,2024-04-18,Bob,THRESHOLD_TOO_LOW
ITEM_0031,77,9,257,2024-08-14,Charlie,SUPPLIER_DELAY
ITEM_0031,68,9,248,2024-06-15,Diana,LEAD_TIME_WRONG
ITEM_0031,29,8,238,2024-06-03,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0031,85,10,285,2024-07-23,Diana,LEAD_TIME_WRONG
ITEM_0031,66,7,206,2024-05-11,Alice,FORECAST_UNDERESTIMATED
ITEM_0032,96,5,196,2024-06-27,Diana,FORECAST_UNDERESTIMATED
ITEM_0032,58,5,158,2024-05-28,Charlie,STALE_FORECAST
ITEM_0032,89,7,229,2024-07-13,Alice,SUPPLIER_DELAY
ITEM_0032,81,10,281,2024-06-12,Alice,SUPPLIER_DELAY
ITEM_0032,68,8,228,2024-06-14,Diana,SUPPLIER_DELAY
ITEM_0033,61,5,71,2024-04-21,Diana,THRESHOLD_TOO_LOW
ITEM_0033,94,6,214,2024-06-11,Bob,LEAD_TIME_WRONG
ITEM_0033,70,5,170,2024-06-03,Bob,SUPPLIER_DELAY
ITEM_0033,73,10,83,2024-06-17,Diana,THRESHOLD_TOO_LOW
ITEM_0033,15,9,265,2024-07-09,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0034,85,9,95,2024-08-22,Diana,THRESHOLD_TOO_LOW
ITEM_0034,100,5,200,2024-07-26,Charlie,STALE_FORECAST
ITEM_0034,87,7,227,2024-07-12,Alice,SUPPLIER_DELAY
ITEM_0034,57,5,157,2024-07-28,Alice,SUPPLIER_DELAY
ITEM_0034,26,6,199,2024-08-25,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0035,68,10,78,2024-07-19,Bob,THRESHOLD_TOO_LOW
ITEM_0035,75,6,85,2024-07-06,Charlie,THRESHOLD_TOO_LOW
ITEM_0035,22,10,263,2024-07-03,Alice,SAFETY_STOCK_INSUFFICIENT
ITEM_0035,98,9,108,2024-06-27,Alice,THRESHOLD_TOO_LOW
ITEM_0035,97,10,297,2024-08-02,Bob,FORECAST_UNDERESTIMATED
ITEM_0036,51,5,151,2024-08-18,Charlie,STALE_FORECAST
ITEM_0036,78,6,198,2024-07-05,Charlie,FORECAST_UNDERESTIMATED
ITEM_0036,21,9,277,2024-07-14,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0036,93,5,103,2024-05-01,Alice,THRESHOLD_TOO_LOW
ITEM_0036,98,7,238,2024-04-11,Diana,LEAD_TIME_WRONG
ITEM_0037,58,9,68,2024-08-17,Bob,THRESHOLD_TOO_LOW
ITEM_0037,55,6,175,2024-06-17,Charlie,STALE_FORECAST
ITEM_0037,96,6,216,2024-04-05,Charlie,FORECAST_UNDERESTIMATED
ITEM_0037,67,10,267,2024-04-18,Bob,STALE_FORECAST
ITEM_0037,99,9,279,2024-05-13,Charlie,SUPPLIER_DELAY
ITEM_0038,69,6,189,2024-05-15,Bob,NO_FAILURE
ITEM_0038,51,6,171,2024-08-17,Charlie,FORECAST_UNDERESTIMATED
ITEM_0038,52,6,172,2024-04-12,Diana,STALE_FORECAST
ITEM_0038,85,10,285,2024-07-21,Bob,SUPPLIER_DELAY
ITEM_0038,97,9,277,2024-07-24,Bob,FORECAST_UNDERESTIMATED
ITEM_0039,58,6,178,2024-05-06,Bob,FORECAST_UNDERESTIMATED
ITEM_0039,80,6,200,2024-05-14,Alice,LEAD_TIME_WRONG
ITEM_0039,28,9,245,2024-04-23,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0039,52,7,192,2024-08-21,Bob,SUPPLIER_DELAY
ITEM_0039,94,6,214,2024-08-18,Diana,SUPPLIER_DELAY
ITEM_0040,58,6,178,2024-06-07,Alice,SUPPLIER_DELAY
ITEM_0040,65,6,75,2024-06-28,Alice,THRESHOLD_TOO_LOW
ITEM_0040,27,5,199,2024-08-30,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0040,67,7,207,2024-08-12,Charlie,STALE_FORECAST
ITEM_0040,87,5,97,2024-08-24,Alice,THRESHOLD_TOO_LOW
ITEM_0041,100,9,280,2024-05-05,Diana,SUPPLIER_DELAY
ITEM_0041,67,10,267,2024-04-16,Bob,SUPPLIER_DELAY
ITEM_0041,71,10,271,2024-05-09,Charlie,FORECAST_UNDERESTIMATED
ITEM_0041,57,8,217,2024-05-28,Bob,SUPPLIER_DELAY
ITEM_0041,94,5,194,2024-08-28,Charlie,STALE_FORECAST
ITEM_0042,62,7,202,2024-08-16,Alice,SUPPLIER_DELAY
ITEM_0042,18,8,241,2024-06-29,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0042,69,6,189,2024-04-30,Alice,SUPPLIER_DELAY
ITEM_0042,93,10,293,2024-04-12,Charlie,LEAD_TIME_WRONG
ITEM_0042,94,7,234,2024-08-13,Alice,FORECAST_UNDERESTIMATED
ITEM_0043,25,10,252,2024-05-11,Diana,SAFETY_STOCK_INSUFFICIENT
ITEM_0043,79,8,89,2024-08-06,Diana,THRESHOLD_TOO_LOW
ITEM_0043,97,5,197,2024-08-27,Diana,STALE_FORECAST
ITEM_0043,57,5,157,2024-05-19,Diana,STALE_FORECAST
ITEM_0043,84,10,94,2024-04-22,Bob,THRESHOLD_TOO_LOW
ITEM_0044,72,7,212,2024-08-20,Diana,FORECAST_UNDERESTIMATED
ITEM_0044,71,9,251,2024-05-27,Bob,SUPPLIER_DELAY
ITEM_0044,51,10,251,2024-07-01,Alice,FORECAST_UNDERESTIMATED
ITEM_0044,75,10,85,2024-06-15,Alice,THRESHOLD_TOO_LOW
ITEM_0044,84,6,204,2024-05-17,Alice,NO_FAILURE
ITEM_0045,95,6,215,2024-07-30,Charlie,SUPPLIER_DELAY
ITEM_0045,77,9,87,2024-06-21,Bob,THRESHOLD_TOO_LOW
ITEM_0045,94,10,294,2024-07-29,Charlie,SUPPLIER_DELAY
ITEM_0045,22,6,215,2024-06-29,Charlie,SAFETY_STOCK_INSUFFICIENT
ITEM_0045,52,6,62,2024-06-17,Alice,THRESHOLD_TOO_LOW
ITEM_0046,60,5,70,2024-08-28,Charlie,THRESHOLD_TOO_LOW
ITEM_0046,56,9,236,2024-07-01,Alice,SUPPLIER_DELAY
ITEM_0046,89,6,209,2024-06-03,Bob,SUPPLIER_DELAY
ITEM_0046,74,10,274,2024-08-11,Diana,FORECAST_UNDERESTIMATED
ITEM_0046,57,6,177,2024-05-29,Diana,SUPPLIER_DELAY
ITEM_0047,67,8,77,2024-06-01,Bob,THRESHOLD_TOO_LOW
ITEM_0047,81,5,91,2024-08-26,Charlie,THRESHOLD_TOO_LOW
ITEM_0047,52,10,252,2024-07-25,Alice,SUPPLIER_DELAY
ITEM_0047,100,9,280,2024-04-13,Charlie,FORECAST_UNDERESTIMATED
ITEM_0047,66,5,76,2024-08-22,Charlie,THRESHOLD_TOO_LOW
ITEM_0048,96,10,106,2024-07-03,Diana,THRESHOLD_TOO_LOW
ITEM_0048,62,10,262,2024-04-25,Alice,STALE_FORECAST
ITEM_0048,99,6,219,2024-08-17,Charlie,FORECAST_UNDERESTIMATED
ITEM_0048,73,10,83,2024-05-24,Bob,THRESHOLD_TOO_LOW
ITEM_0048,52,8,212,2024-08-28,Alice,LEAD_TIME_WRONG
ITEM_0049,99,7,239,2024-07-28,Alice,FORECAST_UNDERESTIMATED
ITEM_0049,71,9,251,2024-08-02,Charlie,SUPPLIER_DELAY
ITEM_0049,72,5,172,2024-06-09,Alice,SUPPLIER_DELAY
ITEM_0049,87,6,207,2024-07-16,Bob,FORECAST_UNDERESTIMATED
ITEM_0049,11,5,186,2024-04-14,Charlie,SAFETY_STOCK_INSUFFICIENT
